date,t_mean,t_max,ghi,north,east,south,west
2025-05-22,24.250000,34.340000,8.108200,2.148037,4.173238,2.292589,3.995029
2025-05-23,26.360000,36.700000,8.195500,2.297696,4.177690,2.362820,4.313994
2025-05-24,28.980000,39.020000,8.096600,2.258717,3.801168,2.386772,4.227960
2025-05-25,30.380000,39.880000,8.026300,2.421265,4.423211,2.603978,3.883962
2025-05-26,28.840000,39.980000,7.388600,2.787891,3.863576,3.022674,3.505070
2025-05-27,23.920000,31.470000,8.024600,2.436201,3.880932,2.496530,4.101163
2025-05-28,23.960000,32.590000,8.362100,2.181946,4.425681,2.062183,4.194003
2025-05-29,25.510000,33.020000,7.699200,2.383260,4.322987,2.471650,2.986343
2025-05-30,26.560000,33.420000,7.737100,2.393530,4.094382,2.451699,3.421123
2025-05-31,26.000000,32.700000,6.768700,2.591410,3.386107,2.595956,3.539955
2025-06-01,25.730000,32.940000,6.545500,2.709646,3.486608,2.714765,3.133245
2025-06-02,24.710000,32.070000,6.900200,2.811097,3.789791,2.637186,3.673321
2025-06-03,25.150000,33.530000,7.129700,2.746814,3.632258,2.547405,4.061103
2025-06-04,26.730000,35.670000,7.965400,2.236461,3.620712,2.143043,4.191767
2025-06-05,27.230000,36.810000,8.303500,2.294334,4.153050,2.099712,4.154253
2025-06-06,28.250000,38.000000,8.172500,2.326743,3.906906,2.182748,4.138682
2025-06-07,28.340000,38.350000,7.941600,2.430678,3.816060,2.327831,3.957982
2025-06-08,27.860000,37.540000,7.995100,2.260132,3.713420,2.135274,4.041115
2025-06-09,28.730000,37.740000,7.959600,2.273335,3.459151,2.148809,4.203830
2025-06-10,29.310000,39.250000,8.082000,2.293190,3.697012,2.089734,4.202810
2025-06-11,29.200000,38.380000,8.260800,2.343204,4.224134,2.086887,3.983513
2025-06-12,29.330000,38.650000,7.973500,2.348920,3.652956,2.235381,3.958541
2025-06-13,29.530000,39.670000,8.100500,2.246692,3.382568,2.127887,4.281468
2025-06-14,28.580000,38.780000,8.524600,2.325807,4.317005,1.939726,4.300605
2025-06-15,27.110000,36.450000,8.282400,2.344160,3.637315,2.129915,4.402575
2025-06-16,26.520000,35.970000,8.197200,2.349022,3.716007,2.178700,4.140159
2025-06-17,28.000000,36.530000,7.830200,2.538119,3.051688,2.471002,4.404953
2025-06-18,28.540000,36.980000,8.243500,2.338542,3.724967,2.072746,4.390378
2025-06-19,28.250000,37.090000,8.353700,2.346605,3.735908,2.070337,4.437648
2025-06-20,28.710000,38.180000,8.433800,2.523521,4.114226,2.102516,4.564687
2025-06-21,28.900000,37.900000,8.496700,2.384776,4.318092,1.973841,4.290600
2025-06-22,28.220000,37.850000,8.057000,2.323880,3.711086,2.138668,4.048089
2025-06-23,27.520000,36.100000,8.049600,2.427643,3.674235,2.297004,3.995845
2025-06-24,28.460000,37.430000,7.964900,2.330358,3.290625,2.199587,4.224622
2025-06-25,28.610000,37.180000,8.169800,2.337010,3.560092,2.072703,4.444526
2025-06-26,28.140000,36.380000,8.528400,2.534898,4.309233,2.158720,4.511996
2025-06-27,29.120000,37.460000,8.269400,2.466834,3.503804,2.272548,4.568821
2025-06-28,29.570000,38.820000,8.101000,2.487249,3.564670,2.388120,4.211929
2025-06-29,29.530000,38.930000,8.094700,2.354883,3.578960,2.218685,4.206512
2025-06-30,30.140000,38.370000,7.850400,2.268231,3.204052,2.166669,4.238793
2025-07-01,31.240000,38.450000,6.509500,2.650250,3.170345,2.708956,3.170968
2025-07-02,29.920000,37.860000,7.702600,2.396939,3.131329,2.299951,4.285200
2025-07-03,30.950000,39.330000,7.830200,2.464418,3.670332,2.337264,4.143678
2025-07-04,30.300000,38.810000,7.908500,2.157419,3.489223,2.028102,4.179826
2025-07-05,29.790000,38.900000,8.382700,2.227473,4.230692,1.912822,4.315583
2025-07-06,29.750000,39.120000,8.528400,2.250007,4.388653,1.889099,4.444439
