date,t_mean,t_max,ghi,north,east,south,west
2025-03-15,23.900000,28.630000,6.192200,1.818074,3.073601,3.828463,3.377920
2025-03-16,25.060000,31.380000,6.046600,1.808541,3.448410,3.770807,2.642532
2025-03-17,23.230000,25.740000,3.188200,1.338176,1.353872,1.752821,2.104830
2025-03-18,23.220000,26.740000,6.256600,1.906041,3.077142,3.681125,3.307446
2025-03-19,23.500000,28.060000,6.296900,1.915290,3.114281,3.638574,3.357209
2025-03-20,25.630000,31.580000,6.560600,1.791328,3.258793,3.793377,3.663177
2025-03-21,28.280000,33.520000,6.438200,1.933613,3.496271,3.822576,3.419652
2025-03-22,27.160000,32.500000,6.134600,1.959476,3.088461,3.460253,3.079222
2025-03-23,25.690000,29.730000,4.534300,1.993182,2.126799,2.516933,2.789176
2025-03-24,23.110000,26.480000,5.797900,1.974702,2.528872,3.168865,3.197702
2025-03-25,21.390000,23.870000,6.838300,1.905442,3.564486,3.798529,3.681761
2025-03-26,21.950000,25.090000,6.539000,1.914351,3.266539,3.584925,3.543377
2025-03-27,23.240000,27.860000,6.745200,1.951496,3.525511,3.639608,3.713055
2025-03-28,24.690000,29.980000,5.922000,2.192256,2.918063,3.327734,3.462061
2025-03-29,24.920000,29.800000,6.500600,2.023460,3.192661,3.358973,3.349842
2025-03-30,26.410000,32.630000,6.505700,1.970252,3.258782,3.403103,3.576691
2025-03-31,27.590000,33.330000,6.852700,1.867813,3.348968,3.507172,3.668210
2025-04-01,26.320000,30.940000,6.565000,1.960658,2.807825,3.322434,3.770841
2025-04-02,26.410000,30.970000,6.676300,2.042247,3.244046,3.310367,3.503599
2025-04-03,27.930000,33.950000,6.459600,2.102350,3.317704,3.195797,3.030462
2025-04-04,30.050000,35.850000,6.370600,2.133079,3.048541,3.089713,3.428476
2025-04-05,29.580000,35.350000,6.664800,1.898565,3.323571,3.162507,3.446227
2025-04-06,29.480000,34.480000,6.792000,2.027409,3.594046,3.255979,3.420442
