date,t_mean,t_max,ghi,north,east,south,west
2025-11-09,27.670000,30.220000,4.540300,1.534036,2.374504,3.741838,2.366476
2025-11-10,27.480000,29.480000,4.335100,1.456507,2.247054,3.605402,2.274459
2025-11-11,27.520000,29.810000,4.468800,1.529974,2.278796,3.681310,2.360143
2025-11-12,27.610000,30.410000,4.445300,1.503149,2.301209,3.686341,2.283466
2025-11-13,27.530000,30.080000,4.450300,1.447297,2.354224,3.808660,2.265731
2025-11-14,27.470000,30.090000,4.391300,1.471145,2.371531,3.692806,2.168535
2025-11-15,27.100000,29.790000,4.322900,1.370723,2.172841,3.877603,2.405561
2025-11-16,26.730000,29.560000,4.519900,1.349978,2.567378,4.256059,2.305216
2025-11-17,26.500000,29.020000,4.178600,1.468832,2.437585,3.963549,2.260740
2025-11-18,26.420000,29.070000,4.420600,1.353293,2.309672,4.094816,2.443460
2025-11-19,26.700000,30.340000,4.311400,1.436482,2.397064,3.793907,2.182250
2025-11-20,26.620000,30.180000,4.376600,1.386497,2.204446,3.971787,2.356306
2025-11-21,27.150000,29.870000,4.399400,1.351139,2.177292,4.117790,2.497965
2025-11-22,27.100000,30.050000,4.298400,1.321277,2.295975,4.025550,2.220809
2025-11-23,26.610000,28.990000,4.121500,1.319520,2.037788,3.737749,2.237856
2025-11-24,26.650000,28.850000,3.967000,1.370861,2.184183,3.458064,1.919008
2025-11-25,26.260000,29.150000,4.368200,1.275225,2.245420,4.297376,2.370722
2025-11-26,25.490000,28.050000,4.340200,1.240961,2.400837,4.418015,2.279993
2025-11-27,25.760000,27.790000,4.215400,1.326723,2.143952,4.032140,2.382307
